Site ID,Date,On Road,Direction,Ref Road,Travel,ADT 2020,AM Hour,AM Volume,PM Hour,PM Volume,2019,2018,2017,2016,,,,,,,,
7071,5/6/2020,64th St - Mesa,N,University Dr,B,1854,10:45 AM,155,12:30 PM,148,1955,2106,2072,2147,,,,,,,,
7072,5/6/2020,64th St - Mesa,S,University Dr,B,898,8:30 AM,64,4:30 PM,97,1113,1010,1316,1166,,,,,,,,
3313,11/16/2020,67th Ave,N,Baseline Rd,B,4726,7:15 AM,285,5:00 PM,433,10858,12278,5892,C,,,,,,,,
4031,,67th Ave,N,Broadway Rd,B,C,,,,,14341,14181,11700,11694,,,,,,,,
3473,11/16/2020,67th Ave,S,Broadway Rd,B,8298,7:45 AM,539,4:00 PM,629,21820,14092,22428,22239,,,,,,,,
4728,11/9/2020,67th Ave,S,Estrella Dr,B,336,7:30 AM,20,3:30 PM,35,1826,1562,1237,948,,,,,,,,
3237,11/9/2020,75th Ave,N,Estrella Dr,B,374,11:15 AM,27,3:15 PM,41,2231,1189,1371,1101,,,,,,,,
3654,5/18/2020,76th St,N ,McKellips Rd,B ,1546,10:30 AM,109,5:00 PM,126,1867,2121,1931,1688,,,,,,,,
3656,5/5/2020,80th St,N ,Apache Tr,B ,1442,11:15 AM,119,1:30 PM,124,1843,1611,2000,896,,,,,,,,
3328,11/16/2020,83rd Ave,N,Dobbins Rd,B,954,7:00 AM,62,4:45 PM,128,3807,2773,2521,2143,,,,,,,,
3479,11/16/2020,91st Ave,N,Baseline Rd,B,4713,6:45 AM,311,4:00 PM,618,11809,7876,7122,6864,,,,,,,,
4734,11/17/2020,91st Ave,S,Broadway Rd,B,5210,6:30 AM,375,4:00 PM,758,14227,10898,9176,8080,,,,,,,,
7230,7/28/2020,91st Ave,N,Pinnacle Peak Rd,B,6620,11:00 AM,459,3:15 PM,540,7639,6220,6492,5361,,,,,,,,
3661,2/24/2020,96th St,N ,Broadway Rd,B ,3950,7:30 AM,310,2:45 PM,356,4748,3304,4806,3612,,,,,,,,
7992,2/24/2020,96th St - Mesa,N,Adobe Rd,B,1436,8:00 AM,125,2:45 PM,137,C,1722,---,---,,,,,,,,
7065,2/24/2020,96th St - Mesa,S,Broadway Rd,B,1583,7:45 AM,229,2:45 PM,205,1735,1225,1129,1561,,,,,,,,
7993,2/24/2020,96th St - Mesa,S,Brown Rd,B,1515,8:00 AM,153,2:30 PM,158,C,1405,---,---,,,,,,,,
7066,2/24/2020,96th St - Mesa,N,Pueblo Ave,B,1543,7:45 AM,229,2:45 PM,200,1565,1096,1571,1454,,,,,,,,
7991,2/24/2020,96th St - Mesa,N,Quarterline Rd,B,2180,7:30 AM,162,4:30 PM,198,C,2191,---,---,,,,,,,,
7038,2/11/2020,96th St - Mesa,N,Southern Ave,B,1582,7:45 AM,151,2:45 PM,178,1626,1187,1671,1406,,,,,,,,
7990,2/24/2020,96th St - Mesa,N,University Dr,B,2395,7:30 AM,190,4:45 PM,215,C,2379,---,---,,,,,,,,
7047,2/18/2020,98th Ave,N,Campana Dr,B,1280,10:45 AM,142,12:30 PM,157,1353,1871,1512,1470,,,,,,,,
4201,2/18/2020,98th Ave,N ,Granada Dr,B ,2307,10:30 AM,235,12:30 PM,257,2234,3453,2878,2425,,,,,,,,
7036,2/3/2020,98th Ave,S,Thunderbird Blvd,B,1254,10:45 AM,135,1:45 PM,126,1096,1164,1079,1521,,,,,,,,
3032,1/21/2020,99th Ave,N,Alabama Ave,N,6266,10:45 AM,507,12:45 PM,497,6022,9511,6538,5727,,,,,,,,
3033,1/21/2020,99th Ave,N,Alabama Ave,S,5906,11:15 AM,515,3:15 PM,565,5451,4878,5739,5437,,,,,,,,
4205,3/9/2020,99th Ave,S,Beardsley Rd,B,11288,11:15 AM,905,1:45 PM,1044,11533,9012,9116,12484,,,,,,,,
8265,3/9/2020,99th Ave,S,Beardsley Rd,N,5854,11:15 AM,494,1:45 PM,517,,,,,,,,,,,,
8266,3/9/2020,99th Ave,S,Beardsley Rd,S,5434,11:15 AM,411,1:45 PM,527,,,,,,,,,,,,
2992,2/18/2020,99th Ave,N ,Bell Rd,N ,7311,11:00 AM,617,12:30 PM,690,7803,8153,4680,4278,,,,,,,,
2991,2/18/2020,99th Ave,N,Bell Rd,S,7631,10:45 AM,684,2:00 PM,725,7514,8706,4894,8006,,,,,,,,
4082,2/24/2020,99th Ave,N,Boswell Blvd,B,16063,11:00 AM,1401,12:30 PM,1439,16260,19277,18364,20490,,,,,,,,
8257,2/24/2020,99th Ave,N,Boswell Blvd,N,7886,11:15 AM,714,1:45 PM,685,,,,,,,,,,,,
8258,2/24/2020,99th Ave,N,Boswell Blvd,S,8177,10:45 AM,723,12:30 PM,829,,,,,,,,,,,,
4083,2/24/2020,99th Ave,S,Boswell Blvd,B,16590,9:30 AM,1381,1:00 PM,1357,16809,17532,17426,19127,,,,,,,,
8259,2/24/2020,99th Ave,S,Boswell Blvd,N,8138,9:30 AM,675,12:45 PM,701,,,,,,,,,,,,
8260,2/24/2020,99th Ave,S,Boswell Blvd,S,8452,9:15 AM,709,4:00 PM,722,,,,,,,,,,,,
4733,11/17/2020,99th Ave,S,Broadway Rd,B,4373,7:00 AM,303,4:30 PM,396,4540,4607,4401,3426,,,,,,,,
7201,5/11/2020,99th Ave,N,Camelback Rd,B,12561,7:00 AM,842,5:15 PM,1122,13488,11299,C,11250,,,,,,,,
2984,1/27/2020,99th Ave,N ,Grand Ave,N ,13988,8:00 AM,1233,4:15 PM,1084,9637,10058,9660,8490,,,,,,,,
2983,1/27/2020,99th Ave,N,Grand Ave,S,9115,11:00 AM,794,3:30 PM,786,8670,9624,9102,8867,,,,,,,,
2940,1/22/2020,99th Ave,S,Grand Ave,N,6287,9:15 AM,535,12:45 PM,516,5760,9511,6828,5755,,,,,,,,
2941,1/22/2020,99th Ave,S ,Grand Ave,S ,5534,11:15 AM,438,1:00 PM,501,5451,4936,5936,5974,,,,,,,,
4178,2/5/2020,99th Ave,N,Greenway Rd,N,9293,11:15 AM,797,3:15 PM,772,6652,9513,8162,9253,,,,,,,,
4179,2/5/2020,99th Ave,N ,Greenway Rd,S ,9449,10:30 AM,833,12:30 PM,812,9011,9198,8559,9368,,,,,,,,
3109,2/18/2020,99th Ave,N,Hutton Dr,N,9125,10:00 AM,766,2:00 PM,836,8696,8569,7724,9194,,,,,,,,
3110,2/18/2020,99th Ave,N ,Hutton Dr,S ,10118,10:15 AM,849,2:00 PM,909,9992,10403,7768,10038,,,,,,,,
